Time,Year,Country Name,Country Code,Foreign direct investment in dollars,GDP dollars,GDP growth annual percent,High-technology exports perc of manufactured exports,Income share held by lowest 20 perc,Inflation GDP deflator annual  percent,Military expenditure percent of GDP,Net official development assistance and official aid received dollars,Poverty headcount ratio at 2.15dollars a day ,"Primary school completion rate, percent of relevant group",Revenue percent of GDP,Tax revenue percent of GDP
2013,YR2013,Argentina,ARG,9821661858.15874,552025140252.246,2.40532378079436,7.45807793886144,5,23.9487984162746,0.837736430159436,34729999.5422363,0.6,101.645011901855,21.5652829643596,12.4529027558077
2013,YR2013,Australia,AUS,54465480054.6771,1576380424746.08,2.57875428825342,18.0024569081412,,-0.153610470416552,1.63970803440996,,,,24.4653751583146,21.9553816536045
2013,YR2013,Brazil,BRA,75211029129.4,2472806919901.67,3.00482266944432,11.9697168242237,3.5,7.50456453292993,1.32944608407492,1155729980.46875,3.7,,28.6511222344884,14.1253057430265
2013,YR2013,China,CHN,290928431467.003,9570406235659.64,7.76615009763002,31.5743629654427,6.2,2.16337002674938,1.70285509558016,-656549987.792969,2.9,,10.9562365189849,9.90773258312895
2013,YR2013,France,FRA,31589283790.5549,2811876903329.03,0.576326674771792,27.1559979226953,8,0.778100531144062,1.84987591828694,,0.1,,44.1773030182945,23.2109178727076
2013,YR2013,Germany,DEU,67199694458.9368,3733804649549.03,0.437591303144671,17.2943283240144,8.2,1.95939168302444,1.18525790100841,,0,98.3986892700195,28.5484553684173,11.611503370267
2013,YR2013,India,IND,28153031270.3203,1856722121394.42,6.38610640094825,8.86996677961836,,6.18650397929852,2.54882567900998,2456340087.89063,,96.2008895874023,12.6089934124701,11.0016256942924
2013,YR2013,Indonesia,IDN,23281742361.5305,912524136718.018,5.5572636889101,9.56618273182515,7,4.96599029131677,0.918769839183066,69470001.2207031,11.2,101.145629882813,15.0049455622559,11.2853014633987
2013,YR2013,Italy,ITA,19531411961.8185,2141924094298.56,-1.84106545088248,7.77047173514885,6.2,1.14761015891955,1.39902041932938,,1.4,100.359329223633,40.2424105936235,25.1389039339171
2013,YR2013,Japan,JPN,10648441636.2071,5212328181166.18,2.0051001767726,17.7272091325285,7.7,-0.354375054330276,0.950866049718239,,0.7,,,
2013,YR2013,"Korea, Rep.",KOR,12766600000,1370795199976.18,3.16470863647184,29.815779383274,,1.01854380505277,2.50300902333872,,,103.185897827148,26.1151297314913,13.6306234375615
2013,YR2013,Mexico,MEX,50831992460,1274443084716.57,1.35409196151679,20.5107806934342,,1.52973082061064,0.507919454953,562390014.648438,,109.42504119873,18.8045337006917,10.294578624308
2013,YR2013,Netherlands,NLD,328677379048.208,877172824534.512,-0.130175288449919,24.6381189972858,8.9,1.27998705426134,1.16615162393654,,0.1,,39.0871252439577,19.6920947880502
2013,YR2013,Russian Federation,RUS,69218890000,2292473246621.08,1.75542214909368,10.6072520741331,6.4,5.32013887201612,3.85404258314373,,0,100.108001708984,26.5415005953221,12.933492451261
2013,YR2013,Saudi Arabia,SAU,8864693333.33333,746647127407.619,2.69928107085529,0.712561215549331,,-1.21635993797847,8.97612773321565,,,110.964279174805,41.1656843932651,2.73392868608145
2013,YR2013,Spain,ESP,47373243838.9588,1355579535912.55,-1.40334186790638,6.96952967081369,5.7,0.397676429490559,1.27277066255826,,1.1,99.2161331176758,28.0682331432961,13.6117498483849
2013,YR2013,Switzerland,CHE,-24926465856.5785,706234937370.968,1.79214405707484,26.7499612839226,7.9,-0.0868426404352363,0.706124077399806,,0,96.8557510375977,17.3653496569185,9.25621409876975
2013,YR2013,Turkiye,TUR,13563000000,957783020853.031,8.48581699653026,3.13023252515566,5.8,6.2801096970818,1.92395933259341,2847840087.89063,0.3,93.8823928833008,30.8343306014254,18.3638081029172
2013,YR2013,United Kingdom,GBR,54473175400.2415,2786315215249.95,1.81986337468368,23.5743828779703,7.7,2.17128685858923,2.2772433458764,,0.2,,33.6565306772837,25.1069407101851
2013,YR2013,United States,USA,288131000000,16843190993000,1.84187539518688,20.1783051022364,5.3,1.75094977881791,4.04667887867098,,1,,18.8018464037849,10.4835093346258
2014,YR2014,Argentina,ARG,5065335541.96486,526319673731.638,-2.51261532081394,7.06113037765277,5.1,40.2829716315506,0.878100919364039,48790000.9155273,0.6,103.106437683105,22.3322943705014,12.6109666067191
2014,YR2014,Australia,AUS,63202728079.4529,1467545212521.8,2.57901711177597,18.9827747031452,7.4,1.42580443341605,1.77227997605856,,0.5,,24.3744983882742,21.9079605429011
2014,YR2014,Brazil,BRA,87713983217.24,2455993625159.37,0.503955740242247,12.3710552617293,3.6,7.84670974352809,1.330244423168,914150024.414063,3.3,,27.3715145442707,13.4900745188201
2014,YR2014,China,CHN,268097181064.335,10475682920594.5,7.42576365632598,29.6954148919299,6.2,1.03106368777084,1.72868906768382,-947070007.324219,2.1,,15.8181780335531,9.6786188269997
2014,YR2014,France,FRA,5804878132.66635,2855964488590.19,0.956183052371557,27.4407037954667,8,0.576944232991778,1.86296143947269,,0,,44.301958586171,23.1614153174882
2014,YR2014,Germany,DEU,19488312315.4148,3889093051023.52,2.20954343134872,17.2060161377871,8.1,1.87793985374911,1.14994199690514,,0,97.2827072143555,28.5011768001284,11.4825632039024
2014,YR2014,India,IND,34576643694.1383,2039127446299.3,7.41022760508854,9.21716620337348,,3.33175691710608,2.54398250277129,2991820068.35938,,97.5711212158203,11.5506206445508,9.98465419070944
